,OSM_id,Building_Height,Building_Volume,Roof_Area,Radiation
601,1004646760,6,345.290577,39.305018,11170.232586
602,1004646759,6,479.829527,65.428106,24574.51169
603,1004646758,6,224.871229,35.528341,8936.186069
604,1004646757,6,88.716876,13.911033,4468.093035
605,1004646756,6,439.702576,54.676972,24574.51169
606,1004646755,6,349.580551,45.899068,18989.395397
607,1004646754,6,600.9591,81.422514,34627.721018
608,1004646753,6,66.128377,10.363571,4468.093035
609,1004646752,6,773.450893,126.463167,43563.907087
610,1004646751,6,491.180288,66.46675,23457.488432
611,1004646750,6,287.164689,43.529925,8936.186069
612,1004642692,6,797.264393,119.072768,39095.814053
613,1004642691,6,786.643599,122.177471,72606.511812
614,1004642690,6,181.393045,29.326502,7819.162811
615,1004642689,6,325.653533,35.449578,33510.697759
616,1004642688,6,145.282639,22.689061,6702.139552
617,1004642687,6,328.535396,54.197031,18989.395397
618,1004642686,6,250.453134,41.014032,18989.395397
619,1004642685,6,806.827501,131.927019,52500.093156
620,1004642684,6,732.794852,122.074483,41329.86057
621,1004642683,6,1003.5459,165.597498,53617.116415
622,1004642682,6,191.402819,29.977336,8936.186069
623,1004642681,6,546.897631,80.592479,26808.558208
624,1004642680,6,501.806512,81.639143,29042.604725
625,1004642679,6,397.820053,63.260457,24574.51169
626,1004642678,6,891.188761,130.86633,42446.883829
627,1004642677,6,1176.633413,141.118234,69255.442036
628,1004642676,6,123.874228,20.132244,4468.093035
629,1004642675,6,472.917792,74.894395,24574.51169
630,1004642674,6,48.042574,7.678553,1117.023259
631,1004642673,6,531.440992,77.966071,43563.907087
632,1004642672,6,90.073163,13.973386,4468.093035
633,1004642671,6,348.521383,54.638927,18989.395397
634,1004642670,6,323.441916,47.01376,8936.186069
635,1004642669,6,249.847543,38.443149,8936.186069
636,1004642668,6,298.680791,41.987198,11170.232586
637,1004642667,6,305.695185,47.526357,18989.395397
638,1004642666,6,456.626553,67.797619,23457.488432
639,1004642665,6,438.472639,66.963471,24574.51169
640,1004642664,6,503.988022,74.849975,23457.488432
641,1004642663,6,226.892827,30.685339,8936.186069
642,1004642662,6,293.887886,43.717064,8936.186069
643,1004642661,6,233.857865,36.700861,8936.186069
644,1004642660,6,253.348817,31.312811,26808.558208
645,1004642659,6,292.020276,42.907964,15638.325621
646,1004642658,6,438.493368,68.452113,24574.51169
647,1004642657,6,243.731912,37.841054,8936.186069
648,1004642656,6,392.979766,61.611245,23457.488432
649,1004642655,6,938.574414,97.038201,63670.325743
650,1004642654,6,430.518518,32.631218,7819.162811
651,1004642653,6,209.605101,16.941086,4468.093035
652,1004642652,6,287.959312,22.741665,17872.372138
653,1004642651,6,340.869318,27.399666,8936.186069
654,1004642650,6,665.68677,61.542682,22340.465173
655,1004642649,6,651.500539,58.723171,17872.372138
656,1004642648,6,645.839471,58.283167,17872.372138
657,1004642647,6,643.000054,58.051361,17872.372138
658,1004642646,6,644.597689,58.265687,17872.372138
659,1004642645,6,742.35105,65.806744,20106.418656
660,1004642644,6,741.154675,65.626515,22340.465173
661,1004642643,6,743.531632,65.961597,22340.465173
662,1004642642,6,742.35105,65.788565,20106.418656
663,1004642641,6,742.963551,65.803618,20106.418656
664,1004642640,6,742.35105,65.784082,20106.418656
665,1004642639,6,665.157186,61.568059,21223.441914
666,1004642638,6,663.205179,61.555802,21223.441914
667,1004642637,6,663.297473,61.482304,21223.441914
668,1004642636,6,803.289211,58.717289,22340.465173
669,1004642635,6,986.587868,74.651278,39095.814053
670,1004642634,6,1354.264587,95.776759,36861.767535
671,1004642633,6,713.845329,56.255934,24574.51169
672,1004642632,6,1305.697859,88.062711,33510.697759
673,1004642631,6,1032.762339,75.897503,42446.883829
674,1004642630,6,527.388417,44.905255,26808.558208
675,1004642629,6,759.562275,57.119078,70372.465295
676,1000065606,6,1098.330039,79.432462,32393.674501
677,999006495,6,654.771323,53.845909,60319.255967
678,996089538,6,1118.355017,83.175084,35744.744277
679,996080906,6,1335.095926,122.765541,53617.116415
680,996080905,6,1279.879047,118.196586,56968.186191
681,996080904,6,1224.114322,112.699131,55851.162932
682,996080903,6,1439.038458,126.384446,43563.907087
683,996080902,6,731.143913,64.346029,56968.186191
684,996080901,6,480.24658,43.947513,34627.721018
685,996080900,6,861.5681,73.117599,30159.627983
686,996080899,6,711.691458,52.961459,26808.558208
687,996080898,6,927.175284,61.469307,30159.627983
688,996080897,6,820.257607,62.515025,32393.674501
689,996080896,6,490.301761,44.561495,29042.604725
690,996080895,6,1011.225605,79.431351,33510.697759
691,996080894,6,721.411023,54.255641,35744.744277
692,996080893,6,866.451327,71.506597,30159.627983
693,994040271,6,723.511096,51.620678,32393.674501
694,994040270,6,1048.25797,81.577408,35744.744277
695,994040269,6,1178.121973,86.698321,42446.883829
696,993942482,6,1038.225985,82.779665,48032.000122
697,992452592,6,1592.652787,95.115273,68138.418777
698,992452591,6,527.567084,50.399872,25691.534949
699,992452590,6,911.55133,73.308029,22340.465173
700,992204782,6,1046.403686,86.438794,39095.814053
701,992204779,6,919.603668,76.033025,32393.674501
702,991212795,6,871.139105,70.240589,36861.767535
703,991192396,6,1212.317388,92.530817,41329.86057
704,989512360,6,458.546479,42.820893,25691.534949
705,989060420,6,922.060581,80.877671,39095.814053
706,987172213,6,678.969303,62.096327,36861.767535
707,987172212,6,793.14667,68.850617,31276.651242
708,985167078,6,617.163967,51.879342,22340.465173
709,985167077,6,647.598005,53.508688,27925.581466
710,977776546,6,462.195819,42.701494,18989.395397
711,977776545,6,660.205356,53.641865,22340.465173
712,977776544,6,474.226698,47.025276,30159.627983
713,977776543,6,589.956294,51.773598,48032.000122
714,977776542,6,900.448826,71.014236,31276.651242
715,977776541,6,574.173415,54.859875,25691.534949
716,977776540,6,864.670089,78.021925,50266.046639
717,977776539,6,605.01809,55.09748,35744.744277
718,977776538,6,888.530971,72.696145,36861.767535
719,977776537,6,1000.805193,80.214622,44680.930346
720,977776536,6,929.565074,79.138016,39095.814053
721,977776535,6,800.721741,71.575119,30159.627983
722,977776534,6,848.171063,67.335693,43563.907087
723,977776533,6,862.503879,69.682791,29042.604725
724,977776532,6,1083.747484,89.418464,45797.953605
725,977776531,6,799.473049,72.232862,42446.883829
726,977776530,6,1234.114719,84.290311,30159.627983
727,977776529,6,585.035064,48.754362,25691.534949
728,977776528,6,634.241933,51.248003,21223.441914
729,977776527,6,738.241224,61.642956,27925.581466
730,977776526,6,814.384311,72.022937,49149.02338
731,977776525,6,423.955727,41.872364,26808.558208
732,977776524,6,414.190755,38.859668,10053.209328
733,977776523,6,842.531218,74.098497,27925.581466
734,977776522,6,661.26403,53.762375,30159.627983
735,977776521,6,1041.425698,82.803685,31276.651242
736,977776520,6,811.886926,71.055447,35744.744277
737,977776519,6,772.18542,67.041082,18989.395397
738,977776518,6,670.684007,55.272445,23457.488432
739,977776517,6,964.898625,77.553789,35744.744277
740,977776516,6,1345.234024,94.126272,33510.697759
741,977776515,6,1095.989605,83.132433,44680.930346
742,977776514,6,1034.632417,80.519227,45797.953605
743,977776513,6,675.265178,61.736813,31276.651242
744,977776512,6,1019.829243,78.954455,48032.000122
745,977776511,6,1051.79626,84.70864,33510.697759
746,977776510,6,959.659053,75.7503,40212.837311
747,977776509,6,634.967458,60.27396,32393.674501
748,977776508,6,669.571042,60.327593,26808.558208
749,977776507,6,966.428644,77.106587,33510.697759
750,977776506,6,987.889371,77.897878,36861.767535
751,977776505,6,461.799989,42.71046,18989.395397
752,977776504,6,431.81163,43.161199,24574.51169
753,977776503,6,1069.038579,85.071114,33510.697759
754,977776502,6,685.372182,64.457408,29042.604725
755,977776501,6,520.69977,49.277529,24574.51169
756,977776500,6,444.675629,41.215073,17872.372138
757,977776499,6,879.362707,74.828917,32393.674501
758,977776498,6,585.126372,47.159112,24574.51169
759,977776497,6,993.043558,78.744488,40212.837311
760,977776496,6,810.565188,69.659881,36861.767535
761,977776495,6,703.892313,58.566673,26808.558208
762,977776494,6,1219.438883,101.706772,51383.069898
763,977776493,6,907.178439,67.266925,36861.767535
764,977776492,6,1080.338998,81.133949,33510.697759
765,977776491,6,971.956452,76.778744,30159.627983
766,977776490,6,505.871425,43.188303,26808.558208
767,977776489,6,1073.583227,78.133427,34627.721018
768,977776488,6,1155.395772,82.743759,42446.883829
769,977776487,6,876.503053,63.460922,41329.86057
770,977776486,6,796.110957,58.35136,20106.418656
771,977776485,6,1038.190449,78.007036,61436.279226
772,977776484,6,838.394246,62.003292,29042.604725
773,977776483,6,936.654981,65.221183,35744.744277
774,977776482,6,759.993148,59.452315,43563.907087
775,977776481,6,978.722587,83.085545,75957.581588
776,977776480,6,1281.148468,106.924505,56968.186191
777,977776479,6,1010.683682,68.8755,29042.604725
778,977776478,6,738.107471,66.990617,60319.255967
